column,dtype
label,int64
subject,str
body,str
clean_text,str
sender,str
from_header,str
recipient,str
return_path,str
to_header,str
message_id,str
x_mailer,str
x_originating_ip,str
content_type,str
urls_count,float64
domains_count,float64
ip_urls_count,float64
attachment_names_count,float64
urls,str
domains,str
urgent_words_count,float64
digit_ratio,float64
body_entropy,float64
html_present,float64
attachment_names,str
auth_headers_present,float64
spf_result,float64
dkim_result,float64
dmarc_result,float64
return_path_domain,str
received_count,float64
