,null_count,empty_string_count
label,0,0
subject,0,0
body,0,0
clean_text,0,0
sender,0,231662
from_header,0,270791
recipient,0,270791
return_path,0,270791
to_header,0,270791
message_id,0,270791
x_mailer,0,270791
x_originating_ip,0,270791
content_type,0,270791
urls_count,0,0
domains_count,0,0
ip_urls_count,0,0
attachment_names_count,0,0
urls,0,104307
domains,0,107756
urgent_words_count,0,0
digit_ratio,0,0
body_entropy,0,0
html_present,0,0
attachment_names,0,270791
auth_headers_present,0,0
spf_result,0,0
dkim_result,0,0
dmarc_result,0,0
return_path_domain,0,270791
received_count,0,0
